camera_view,person,session,filename,path,size_mb,sync_group,has_synchronized_pairs,synchronized_cam_side_l,synchronized_cam_side_r,synchronized_cam_top
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_171500244.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_171500244.mp4,114.07,imi_session1_4,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_171457812.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session1/Basler_a2A1920-160ucBAS__40399460__20250219_171452843.mp4,
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_171707798.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_171707798.mp4,113.21,imi_session1_5,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_171704628.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session1/Basler_a2A1920-160ucBAS__40399460__20250219_171656744.mp4,
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_171904399.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_171904399.mp4,112.09,imi_session1_6,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_171858831.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session1/Basler_a2A1920-160ucBAS__40399460__20250219_171855411.mp4,
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_172038801.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_172038801.mp4,115.67,imi_session1_7,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_172041530.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session1/Basler_a2A1920-160ucBAS__40399460__20250219_172044476.mp4,
cam_top,zolti,session2,Basler_a2A1920-160ucBAS__40401031__20250219_175347332.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session2/Basler_a2A1920-160ucBAS__40401031__20250219_175347332.mp4,130.69,zolti_session2_0,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_175346432.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_175518981.mp4,
cam_top,zolti,session2,Basler_a2A1920-160ucBAS__40401031__20250219_175520650.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session2/Basler_a2A1920-160ucBAS__40401031__20250219_175520650.mp4,132.45,zolti_session2_1,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_175519800.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_175744281.mp4,
cam_top,zolti,session2,Basler_a2A1920-160ucBAS__40401031__20250219_175745997.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session2/Basler_a2A1920-160ucBAS__40401031__20250219_175745997.mp4,129.96,zolti_session2_2,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_175745154.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_175937582.mp4,
cam_top,zolti,session2,Basler_a2A1920-160ucBAS__40401031__20250219_175939237.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session2/Basler_a2A1920-160ucBAS__40401031__20250219_175939237.mp4,138.88,zolti_session2_3,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_175938455.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_180128931.mp4,
cam_top,zolti,session2,Basler_a2A1920-160ucBAS__40401031__20250219_180131119.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session2/Basler_a2A1920-160ucBAS__40401031__20250219_180131119.mp4,130.34,zolti_session2_4,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_180129889.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_180320568.mp4,
cam_top,zolti,session1,Basler_a2A1920-160ucBAS__40401031__20250219_174453363.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session1/Basler_a2A1920-160ucBAS__40401031__20250219_174453363.mp4,130.77,zolti_session1_0,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_174452544.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_174451674.mp4,
