camera_view,person,session,filename,path,size_mb,sync_group
cam_side_r,zolti,session1,Basler_a2A1920-160ucBAS__40399460__20250219_174948489.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_174948489.mp4,130.17,Basler_a2A1920-160ucBAS__40399460__20250219_174948489
cam_side_r,zolti,session1,Basler_a2A1920-160ucBAS__40399460__20250219_174631639.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_174631639.mp4,131.01,Basler_a2A1920-160ucBAS__40399460__20250219_174631639
cam_side_r,zolti,session1,Basler_a2A1920-160ucBAS__40399460__20250219_174805945.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_174805945.mp4,130.02,Basler_a2A1920-160ucBAS__40399460__20250219_174805945
cam_side_r,zolti,session1,Basler_a2A1920-160ucBAS__40399460__20250219_174451674.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_174451674.mp4,130.76,Basler_a2A1920-160ucBAS__40399460__20250219_174451674
cam_side_r,zolti,session1,Basler_a2A1920-160ucBAS__40399460__20250219_175131412.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_175131412.mp4,130.72,Basler_a2A1920-160ucBAS__40399460__20250219_175131412
cam_side_r,calibration,,Basler_a2A1920-160ucBAS__40399460__20250219_181316256.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/calibration/Basler_a2A1920-160ucBAS__40399460__20250219_181316256.mp4,118.64,Basler_a2A1920-160ucBAS__40399460__20250219_181316256
cam_side_r,calibration,,Basler_a2A1920-160ucBAS__40399460__20250219_181539758.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/calibration/Basler_a2A1920-160ucBAS__40399460__20250219_181539758.mp4,128.91,Basler_a2A1920-160ucBAS__40399460__20250219_181539758
cam_side_l,imi,session2,Basler_a2A1920-160ucBAS__40399468__20250219_172548519.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_172548519.mp4,132.37,Basler_a2A1920-160ucBAS__40399468__20250219_172548519
cam_side_l,imi,session2,Basler_a2A1920-160ucBAS__40399468__20250219_172911220.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_172911220.mp4,1.73,Basler_a2A1920-160ucBAS__40399468__20250219_172911220
cam_side_l,imi,session2,Basler_a2A1920-160ucBAS__40399468__20250219_173305337.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_173305337.mp4,133.81,Basler_a2A1920-160ucBAS__40399468__20250219_173305337
cam_side_l,imi,session2,Basler_a2A1920-160ucBAS__40399468__20250219_172403366.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_172403366.mp4,129.39,Basler_a2A1920-160ucBAS__40399468__20250219_172403366
cam_side_l,imi,session2,Basler_a2A1920-160ucBAS__40399468__20250219_173114488.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_173114488.mp4,132.37,Basler_a2A1920-160ucBAS__40399468__20250219_173114488
cam_side_l,imi,session2,Basler_a2A1920-160ucBAS__40399468__20250219_172733419.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_172733419.mp4,132.59,Basler_a2A1920-160ucBAS__40399468__20250219_172733419
